complaint,aliases,clinical_terms,condition,lang,source
吐黄水,吐黄色的水 | 吐黄沫 | vomit yellow water | yellow vomit | bile vomit,bilious vomiting | bile | gastroenteritis | empty stomach vomiting,Digestive Issues,zh,curated_bilingual
拉肚子,软便 | 腹泻 | 水便 | diarrhea | loose stool | runny poop,diarrhea | gastroenteritis | enteritis | dehydration,Digestive Issues,zh,curated_bilingual
呕吐,一直吐 | 吐了好几次 | vomiting | throwing up,vomiting | emesis | gastroenteritis,Digestive Issues,zh,curated_bilingual
便血,拉血 | 大便带血 | bloody stool | blood in stool,hematochezia | gastrointestinal bleeding | colitis,Digestive Issues,zh,curated_bilingual
一直舔脚,舔爪子 | 咬脚 | lick paws | chewing feet | itchy paws,pruritus | pododermatitis | allergy | dermatitis | yeast infection,Skin Irritations,zh,curated_bilingual
抓痒,一直抓 | 皮肤痒 | 脱毛 | itchy | scratching | hair loss,pruritus | alopecia | dermatitis | allergy | fleas,Skin Irritations,zh,curated_bilingual
耳朵臭,甩头 | 抓耳朵 | 耳垢多 | ear smell | shaking head | ear scratch,otitis | otorrhea | ear infection | yeast,Ear Infections,zh,curated_bilingual
走路瘸,跛行 | 不敢踩 | 腿痛 | limping | lameness | won't put weight,lameness | musculoskeletal pain | arthritis | trauma,Mobility Problems,zh,curated_bilingual
有虫子,绦虫 | 蛔虫 | 跳蚤 | worms | fleas | seeing worms in stool,parasite | helminth | flea | deworming,Parasites,zh,curated_bilingual
不吃东西,没食欲 | 厌食 | not eating | won't eat | loss of appetite,anorexia | inappetence | systemic illness,Digestive Issues,zh,curated_bilingual
喘不过气,呼吸困难 | 喘气很重 | can't breathe | labored breathing | gasping,dyspnea | respiratory distress | tachypnea,Respiratory,zh,curated_bilingual
抽搐,癫痫发作 | 痉挛 | seizure | convulsing | fitting,seizure | epilepsy | neurologic emergency,Neurologic,zh,curated_bilingual
Digestive Issues,digestive issues,vomiting | diarrhea | obstruction | giardia | dehydration | anorexia | gastroenteritis | lethargy | hematochezia | hematemesis | infection | parasite,Digestive Issues,en,huggingface:karenwky/pet-health-symptoms-dataset
diarrhea,,vomiting | diarrhea | obstruction | giardia | dehydration | anorexia | gastroenteritis | lethargy | hematochezia | hematemesis | infection | parasite,Digestive Issues,en,huggingface:karenwky/pet-health-symptoms-dataset
vomiting,,vomiting | diarrhea | obstruction | giardia | dehydration | anorexia | gastroenteritis | lethargy | hematochezia | hematemesis | infection | parasite,Digestive Issues,en,huggingface:karenwky/pet-health-symptoms-dataset
vomits,,vomiting | diarrhea | obstruction | giardia | dehydration | anorexia | gastroenteritis | lethargy | hematochezia | hematemesis | infection | parasite,Digestive Issues,en,huggingface:karenwky/pet-health-symptoms-dataset
vomit,,vomiting | diarrhea | obstruction | giardia | dehydration | anorexia | gastroenteritis | lethargy | hematochezia | hematemesis | infection | parasite,Digestive Issues,en,huggingface:karenwky/pet-health-symptoms-dataset
